,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2019-03-03,798.0,4.593161446707589,9.752707345145089,9.884708999999999,411.86,68.0,-9999.0,0.95,-9999.0,277.7990075766634,36914.66641673724,153.08965301513672,-9999.0,-9999.0,62,4.593161446707589,9.752707345145089
2019-03-10,805.0,5.24957275390625,9.868251255580358,12.787657,411.915,75.0,-9999.0,1.11,-9999.0,277.61790630314624,38507.09625098117,166.30915157811174,-9999.0,-9999.0,69,5.24957275390625,9.868251255580358
2019-03-17,812.0,5.9248046875,10.432647705078125,11.69545,411.97,82.0,-9999.0,0.03,-9999.0,278.1427899626647,40133.53603823036,160.4269518171038,-9999.0,-9999.0,76,5.9248046875,10.432647705078125
2019-03-24,819.0,1.72515869140625,11.529091971261161,17.418152,412.242,89.0,-9999.0,0.35,-9999.0,277.916950542424,41780.58618825219,179.9094704349025,-9999.0,-9999.0,83,1.72515869140625,11.529091971261161
2019-03-31,826.0,2.9970310756138394,9.892578125,16.75632,412.514,96.0,-9999.0,1.25,-9999.0,277.09810807623825,43436.74675284538,177.4788149360086,-9999.0,-9999.0,90,2.9970310756138394,9.892578125
2019-04-07,833.0,3.4135306222098216,10.267434256417411,21.086108,412.786,103.0,-9999.0,0.01,-9999.0,276.4645768561331,45091.40662913248,184.46434716464708,-9999.0,-9999.0,97,3.4135306222098216,10.267434256417411
2019-04-14,840.0,6.157034737723214,14.583421979631696,23.944903999999998,413.058,110.0,-9999.0,0.0,-9999.0,276.5237819957084,46733.80610036084,208.51440289555765,-9999.0,-9999.0,104,6.157034737723214,14.583421979631696
2019-04-21,847.0,7.684897286551339,14.445626395089286,24.20378,413.33,117.0,-9999.0,1.17,-9999.0,278.41354316140513,48352.003486810536,291.26379342630605,-9999.0,-9999.0,111,7.684897286551339,14.445626395089286
2019-04-28,854.0,5.935368129185268,11.744450160435267,24.63648,413.65749999999997,124.0,-9999.0,0.13,-9999.0,279.30777712452164,49931.87948469054,303.8879282425861,-9999.0,-9999.0,118,5.935368129185268,11.744450160435267
2019-05-05,861.0,4.151755196707589,12.08843994140625,26.406784,413.985,131.0,-9999.0,0.1,-9999.0,279.3607865729299,51456.235246727956,295.5248394401706,-9999.0,-9999.0,125,4.151755196707589,12.08843994140625
2019-05-12,868.0,6.486907958984375,14.384922572544642,27.35352,414.3125,138.0,-9999.0,0.3,-9999.0,278.63116484142483,52904.08187126966,264.84184981365587,-9999.0,-9999.0,132,6.486907958984375,14.384922572544642
2019-05-19,875.0,7.733202253069196,16.609819684709823,27.219666,414.64,145.0,-9999.0,1.08,-9999.0,278.89869002776885,54250.27552839484,308.32243762373116,-9999.0,-9999.0,139,7.733202253069196,16.609819684709823
2019-05-26,882.0,9.582205636160714,16.549351283482142,24.700152,414.4625,152.0,-9999.0,0.31,-9999.0,280.41786897620375,55465.710004542125,329.435094508995,-9999.0,-9999.0,146,9.582205636160714,16.549351283482142
2019-06-02,889.0,8.987056187220983,14.976858956473214,24.700152,414.28499999999997,159.0,-9999.0,0.11,-9999.0,281.7161934573634,56518.3056651282,322.6273468432783,-9999.0,-9999.0,153,8.987056187220983,14.976858956473214
2019-06-09,896.0,8.976850237165179,14.046330043247767,21.904567999999998,414.1075,166.0,-9999.0,0.27,-9999.0,282.1190881845902,57374.97986456548,280.63305093155424,-9999.0,-9999.0,160,8.976850237165179,14.046330043247767
2019-06-16,903.0,9.643367222377233,16.444593157087052,29.111739999999998,413.93,173.0,-9999.0,0.0,-9999.0,282.47553806434684,58004.59565415256,253.4366274463887,-9999.0,-9999.0,167,9.643367222377233,16.444593157087052
2019-06-23,910.0,13.197958809988839,21.620557512555802,29.111739999999998,413.492,180.0,-9999.0,0.1,-9999.0,283.0632019873379,58381.556002330595,265.89126576533937,-9999.0,-9999.0,174,13.197958809988839,21.620557512555802
2019-06-30,917.0,11.384630475725446,19.715667724609375,29.885116,413.05400000000003,187.0,-9999.0,0.03,-9999.0,284.37056403127656,58489.337021773856,349.209355879803,-9999.0,-9999.0,181,11.384630475725446,19.715667724609375
2019-07-07,924.0,12.594321114676339,20.908373151506698,25.220693999999998,412.616,194.0,-9999.0,1.03,-9999.0,284.9515435666454,58323.040530900136,447.1279939404962,-9999.0,-9999.0,188,12.594321114676339,20.908373151506698
2019-07-14,931.0,13.036407470703125,20.243573869977677,23.237524,412.178,201.0,-9999.0,0.55,-9999.0,285.4668218703497,57890.19117237181,488.6168480697943,-9999.0,-9999.0,195,13.036407470703125,20.243573869977677
2019-07-21,938.0,14.778132847377233,22.460553850446427,25.084515999999997,411.74,208.0,-9999.0,0.24,-9999.0,286.0611886575919,57209.519463953606,481.37941394209054,-9999.0,-9999.0,202,14.778132847377233,22.460553850446427
2019-07-28,945.0,12.650543212890625,20.13010515485491,23.871934,411.2925,215.0,-9999.0,0.99,-9999.0,286.6545878092448,56308.12254196899,453.1404366006656,-9999.0,-9999.0,209,12.650543212890625,20.13010515485491
2019-08-04,952.0,14.014888218470983,19.770747593470983,20.181668,410.845,222.0,-9999.0,0.46,-9999.0,286.9016898849383,55217.843256407425,414.7493639057185,-9999.0,-9999.0,216,14.014888218470983,19.770747593470983
2019-08-11,959.0,12.806592668805804,17.646824428013392,20.043632,410.3975,229.0,-9999.0,0.15,-9999.0,286.542138837957,53971.76669632428,356.44687553976667,-9999.0,-9999.0,223,12.806592668805804,17.646824428013392
2019-08-18,966.0,11.792746407645089,19.19590105329241,22.005886,409.95,236.0,-9999.0,2.04,-9999.0,286.16486143773915,52601.46606240793,318.48052501029713,-9999.0,-9999.0,230,11.792746407645089,19.19590105329241
2019-08-25,973.0,12.203866141183036,20.04886736188616,22.005886,409.59749999999997,243.0,-9999.0,0.07,-9999.0,285.69295255699933,51135.25107021239,321.3103661569608,-9999.0,-9999.0,237,12.203866141183036,20.04886736188616
2019-09-01,980.0,11.037889753069196,16.487047467912948,18.70742,409.245,250.0,-9999.0,1.81,-9999.0,285.17743218869583,49597.36880153,349.15047864849066,-9999.0,-9999.0,244,11.037889753069196,16.487047467912948
2019-09-08,987.0,10.540958949497767,17.461408342633927,17.99586,408.89250000000004,257.0,-9999.0,0.0,-9999.0,284.59248017810637,48007.950640305986,338.4293495230123,-9999.0,-9999.0,251,10.540958949497767,17.461408342633927
2019-09-15,994.0,10.803828648158483,18.10611833844866,17.99586,408.54,264.0,-9999.0,0.39,-9999.0,284.07211561138126,46383.46726364551,318.70270880874324,-9999.0,-9999.0,258,10.803828648158483,18.10611833844866
2019-09-22,1001.0,12.727639334542411,16.462833949497767,12.304297,408.536,271.0,-9999.0,1.37,-9999.0,284.2392504218484,44737.491072192715,293.9282045429255,-9999.0,-9999.0,265,12.727639334542411,16.462833949497767
